行业领域,公司规模
"营销服务｜咨询,数据服务｜咨询",500-2000人
游戏,2000人以上
游戏,2000人以上
"内容资讯,电商平台,消费生活",500-2000人
游戏,500-2000人
社交媒体,500-2000人
游戏,500-2000人
"音频｜视频媒体,短视频",500-2000人
游戏,500-2000人
电商平台,2000人以上
数据服务｜咨询,500-2000人
游戏,500-2000人
音频｜视频媒体,500-2000人
影视｜动漫,150-500人
"游戏,工具类产品",500-2000人
"软件服务｜咨询,数据服务｜咨询",150-500人
电商平台,2000人以上
"内容资讯,汽车交易平台",150-500人
游戏,150-500人
消费生活,500-2000人
新媒体,150-500人
软件服务｜咨询,150-500人
游戏,150-500人
"数据服务｜咨询,人工智能服务,营销服务｜咨询",500-2000人
内容资讯,150-500人
内容社区,50-150人
"人工智能服务,数据服务｜咨询",150-500人
"社交媒体,MCN｜直播平台",2000人以上
"电商平台,内容社区,内容资讯",500-2000人
游戏,150-500人
"生活服务,旅游｜出行",150-500人
工具类产品,150-500人
营销服务｜咨询,150-500人
"软件服务｜咨询,人工智能服务",500-2000人
游戏,500-2000人
电商平台,500-2000人
"在线教育,IT技术服务｜咨询,人工智能服务",500-2000人
游戏,50-150人
社交媒体,2000人以上
游戏,150-500人
"游戏,工具类产品",50-150人
移动互联网,150-500人
"游戏,电商平台,软件服务｜咨询",150-500人
游戏,150-500人
营销服务｜咨询,150-500人
"软件服务｜咨询,IT技术服务｜咨询",500-2000人
游戏,150-500人
营销服务｜咨询,150-500人
人工智能服务,500-2000人
制造业,2000人以上
工具类产品,150-500人
IT技术服务｜咨询,500-2000人
游戏,500-2000人
电商平台,2000人以上
电商平台,2000人以上
科技金融,500-2000人
游戏,500-2000人
电商平台,500-2000人
游戏,150-500人
"软件服务｜咨询,营销服务｜咨询,MCN｜直播平台",150-500人
电商平台,150-500人
"软件服务｜咨询,IT技术服务｜咨询",50-150人
游戏,500-2000人
专业服务｜咨询,2000人以上
"内容资讯,在线教育,短视频",150-500人
科技金融,2000人以上
MCN｜直播平台,50-150人
电商平台,500-2000人
软件服务｜咨询,150-500人
新零售,2000人以上
游戏,500-2000人
"软件服务｜咨询,IT技术服务｜咨询",150-500人
"软件服务｜咨询,IT技术服务｜咨询",500-2000人
信息检索,150-500人
游戏,150-500人
游戏,150-500人
"游戏,内容社区",500-2000人
IT技术服务｜咨询,15-50人
数据服务｜咨询,2000人以上
"数据服务｜咨询,IT技术服务｜咨询",150-500人
游戏,150-500人
金融业,2000人以上
"软件服务｜咨询,IT技术服务｜咨询,数据服务｜咨询",15-50人
数据服务｜咨询,500-2000人
"文化传媒,游戏",150-500人
"软件服务｜咨询,数据服务｜咨询",500-2000人
智能硬件,2000人以上
游戏,150-500人
IT技术服务｜咨询,150-500人
"软件开发,工具",15-50人
电商平台,150-500人
软件服务｜咨询,500-2000人
游戏,150-500人
游戏,150-500人
IT技术服务｜咨询,150-500人
文化传媒,2000人以上
